year,month,n,text_l
2022,8,7,12479
2022,9,3,6124
2022,10,5,10860
2022,11,6,12836
2022,12,5,10703
2023,1,5,10447
2023,2,7,14383
2023,3,5,9611
2023,4,7,12850
2023,5,10,17651
2023,6,10,17710
2023,7,9,15629
2023,8,8,14974
2023,9,12,22330
2023,10,10,19254
2023,11,7,13594
2023,12,9,18751
2024,1,12,23335
2024,2,5,8456
2024,3,8,14683
2024,4,7,15235
2024,5,7,13100
2024,6,8,15818
2024,7,3,5877
2024,8,4,7373
2024,9,9,26556
2024,10,7,12694
2024,11,6,10951
2024,12,7,18521
2025,1,8,12528
2025,2,5,9145
2025,3,8,17068
2025,4,2,2918
