date,title,view,link
2025-03-31,面對川普2.0，《黃仁勳傳》作者維特建議台灣建立新聯盟,350,https://www.gvm.com.tw/article/120131
2024-12-31,黃仁勳、馬斯克都看好，機器人最後一哩路在AI？,450,https://www.gvm.com.tw/article/118094
2024-11-07,面對不確定的時代！許勝雄：國家追求卓越同時，必須兼顧社會均衡,650,https://www.gvm.com.tw/article/117001
2025-01-24,日本直擊〉噴墨革新也拚ESG，EPSON靠哪招翻轉印刷業？,850,https://www.gvm.com.tw/article/118608
2025-01-21,閱讀張忠謀》陳俊聖：他堅持做「對的事」，影響遍及全台,900,https://www.gvm.com.tw/article/118652
2025-03-14,輝達GTC大會將登場！鴻海如何看AI未來？劉揚偉釋觀察,1300,https://www.gvm.com.tw/article/119898
2025-03-07,緯穎3億鎂投資德州做什麼？川普關稅對策完整拆解,1500,https://www.gvm.com.tw/article/119728
2025-02-27,電動車衰、AI散熱來救！台達電看2025，哪裡好哪裡壞？,1500,https://www.gvm.com.tw/article/119567
2024-07-31,Amazon上闖名聲！台灣10人新創做視訊硬體，如何以小搏大？,1550,https://www.gvm.com.tw/article/114709
2025-02-27,川普關稅台廠應對：「美國製造」成本可大可小？緯創、光寶解析,1600,https://www.gvm.com.tw/article/119561
2023-10-19,因應國際永續趨勢刻不容緩！數位工具、跨界合作成關鍵,1700,https://www.gvm.com.tw/article/106958
2023-09-20,逢甲培育務實人才，助攻太空產業大躍進,1700,https://www.gvm.com.tw/article/106290
2024-10-31,鴻呈搭上AI紅利，30年老廠轉骨成功,1800,https://www.gvm.com.tw/article/116647
2025-04-10,對等關稅降至10%，蘋概股還有救？大立光林恩平釋風向,1900,https://www.gvm.com.tw/article/120509
2024-11-06,如何迎接AI 2.0？李開復：企業應成為「造風者」,1900,https://www.gvm.com.tw/article/116923
2023-09-20,全球競逐太空商機，四校創研究所搶先機,1950,https://www.gvm.com.tw/article/106289
2023-09-25,小川恭範開拓新戰線，80年EPSON續攀高峰,2000,https://www.gvm.com.tw/article/106443
2024-12-31,鴻海、小米都搶投資，女媧創造MIT機器人夯什麼？,2100,https://www.gvm.com.tw/article/118089
2025-01-16,尾牙談川普、AI PC，宏碁陳俊聖看到挑戰與甜蜜點,2150,https://www.gvm.com.tw/article/118532
2023-10-31,Tesla賣不動！Macbook還行？蘋果發表會推M3新機，能翻轉半導體景氣？,2200,https://www.gvm.com.tw/article/107250
2025-01-14,仁寶尾牙談AI伺服器、北美布局，陳瑞聰為何有信心？,2250,https://www.gvm.com.tw/article/118498
2023-09-20,投入太空教育40年，成大育才打「團體戰」,2250,https://www.gvm.com.tw/article/106291
2024-01-15,CES 2024／工研院攜三台廠搶攻運動科技、3D顯示，看準什麼商機？,2400,https://www.gvm.com.tw/article/109273
2025-03-27,長照人力荒靠它解？醫療機器人夯，真的能用？,2450,https://www.gvm.com.tw/article/120225
2025-01-07,CES 2025：台廠搶攻全球市場！AI PC、機器人、車用電子亮點搶先看,2450,https://www.gvm.com.tw/article/118348
2024-01-05,AI PC助攻，華碩股價衝25年新高，施崇棠如何展望2024？,2550,https://www.gvm.com.tw/article/109036
2024-12-31,黃仁勳點名廣達小金雞！達明股價大漲，機器人還成為NVIDIA深度合作伙伴,2550,https://www.gvm.com.tw/article/118090
2024-01-12,CES 2024 /AI 萬能！加持PC外，兼治更年期？5趨勢拆解,2600,https://www.gvm.com.tw/article/109228
2024-11-06,擁抱生成式AI！吳恩達、游直翰：台灣應打造具全球影響力的應用,2750,https://www.gvm.com.tw/article/116933
2024-03-29,緯創林憲銘談管理：我是懶惰的CEO，少開會才有時間思考,2750,https://www.gvm.com.tw/article/111421
