text_segment,n
黃仁勳,196
劉揚偉,194
陳俊聖,152
張忠謀,64
施崇棠,60
梁見後,51
劉克振,42
連加恩,42
林恩平,41
童子賢,39
關潤,37
小川恭範,34
葉力誠,33
鄭顯聰,33
郭台銘,30
林憲銘,29
楊麒令,28
鄭崇華,28
蘇姿丰,27
施振榮,26
陳冠如,26
李國鼎,24
林志鴻,22
黃彥男,22
林鴻明,21
鄭光志,21
簡民智,20
高西淳夫,20
林佳璋,19
林百里,19
簡忠正,19
葉國一,18
巫俊毅,17
楊應超,17
簡宏諠,17
吳柏翰,16
施正德,16
吳恩達,15
吳漢章,15
彭双浪,15
王恒聰,15
劉文雄,14
劉昌德,14
加藤一郎,14
戴正吳,14
程世嘉,14
吳乙南,12
楊宏培,12
吳仲超,11
吳政忠,11
李建宏,11
村田佳之,11
杜墨璽,11
邱森彬,11
李延庭,10
李開復,10
胡書賓,10
卓桐華,9
卞志祥,9
後藤春彥,9
朱成志,9
杜奕瑾,9
海英俊,9
莊永順,9
呂舜星,8
季辛格,8
林文源,8
林明道,8
楊士良,8
廖逸翔,7
徐秀蘭,7
戴函昱,7
朱家良,7
梁次震,7
楊秋瑾,7
王毓駒,7
王靜儀,7
翁宗斌,7
陳清熙,7
陳良基,7
徐衍珍,6
戴志言,6
李順欽,6
林大涵,6
西田厚聰,6
郭水義,6
鄒銘諾,6
鄧國彥,6
黃家齊,6
黃馨,6
何芳子,5
劉佩真,5
吳宗信,5
周厚宇,5
廖彥宜,5
張家豪,5
楊煥晨,5
游直翰,5
王啟昌,5
王奕翔,5
王永慶,5
蔡玉玲,5
詹劭勳,5
郭重顯,5
陳家榜,5
陳金銘,5
吳廣義,4
吳有順,4
吳田玉,4
唐鳳,4
張媁雯,4
張淑芬,4
張舜翔,4
徐美雯,4
潘思亮,4
王映亮,4
許大山,4
許祐嘉,4
郭柳宗,4
郭榮彥,4
錢奕綱,4
陳信孚,4
陳宗正,4
陳柏孚,4
陳柏宏,4
古秀華,3
呂理廸,3
島田太郎,3
張瑜珊,3
張皓鈞,3
沈彥宏,3
沈慶堯,3
沈祖望,3
王國棟,3
陳建元,3
陳慶耀,3
陳文貞,3
陳縕儂,3
陸行之,3
佐佐木則夫,2
何世池,2
傅珍珍,2
嚴陳莉蓮,2
徐佳馨,2
洪春暉,2
洪進揚,2
洪麗寗,2
洪麗甯,2
潘健成,2
趙聖浩,2
