date,title,view,link
2023-12-15,AI PC夯什麼？引英特爾、華碩搶進? 一圖拆解23檔概念股,64350,https://www.gvm.com.tw/article/108452
2023-07-24,鴻海合作案雙雙破局》楊應超：策略對，但隔行如隔山,54950,https://www.gvm.com.tw/article/104730
2023-06-29,泰坦號慘案，30美元的電玩手把是禍首？,52600,https://www.gvm.com.tw/article/104010
2023-06-30,ZenFone已經十代還在虧，華碩如何延續「手機夢」？,44100,https://www.gvm.com.tw/article/104061
2024-11-20,美超微暫解美股下市危機！股價大漲翻身了？專家分析後市,41250,https://www.gvm.com.tw/article/116287
2023-06-01,NVIDIA黃仁勳誇美超微機櫃「就水欸！」，暗藏伙伴AI策略？,40500,https://www.gvm.com.tw/article/103255
2023-07-26,緯創出清立訊持股，林憲銘打什麼算盤？,40250,https://www.gvm.com.tw/article/104799
2023-02-09,金仁寶建「新祖厝」，瞄準北士科重劃區有玄機？,39500,https://www.gvm.com.tw/article/99473
2023-06-20,攜手輝達秀AI新布局！和碩如何「打群架」搶市？,39050,https://www.gvm.com.tw/article/103716
2024-12-18,亞光股價漲兩成！黃仁勳、馬斯克推人形機器人，概念股夯什麼？,35400,https://www.gvm.com.tw/article/117337
2023-05-15,鴻海造車遇硬仗，反轉勝出關鍵是等其他車廠賠？,34950,https://www.gvm.com.tw/article/102628
2022-12-07,張忠謀曾說：台灣人管不動美國人！台積赴美怎麼管？,31800,https://www.gvm.com.tw/article/97353
2023-02-21,雷虎奪陸軍大單「漲停鎖死」！董座親揭的8年無人機轉型大計,31700,https://www.gvm.com.tw/article/99857
2023-06-28,鴻海、Lordstown緣盡分手！面對正式提告，靠「1美元」定結局？,31500,https://www.gvm.com.tw/article/103958
2024-07-26,美超微與兩家台企，一起打造台灣AI算力中心！能續航AI熱？,31100,https://www.gvm.com.tw/article/114634
2023-08-04,研華自稱「非AI概念股」，但默默布了哪些局？,30100,https://www.gvm.com.tw/article/105098
2023-02-01,靠電動車新進展，鴻海股價回百元只是開始？,30000,https://www.gvm.com.tw/article/99218
2023-06-11,金仁寶接班人明朗！下一個50年的經營傳承，要集結資源打群架,29250,https://www.gvm.com.tw/article/103491
2023-01-11,立訊吃到貴蘋果，將衝擊鴻海股價？,29200,https://www.gvm.com.tw/article/98613
2022-08-16,隨SpaceX火箭升空，全球唯一商用球型馬達竟是MIT？,28250,https://www.gvm.com.tw/article/93137
2023-08-01,別只看AI！光寶科毛利創歷史新高，還靠3法寶,27150,https://www.gvm.com.tw/article/104982
2023-06-14,英業達二代接班！葉力誠如何從養蘭花到擔大任？,26850,https://www.gvm.com.tw/article/103566
2023-03-27,「AI 妖股」？緯穎傳吃微軟大單漲翻，背後有秘密武器,26250,https://www.gvm.com.tw/article/101132
2022-09-27,XPC龍頭更名再出發！轉攻科技醫療，輔信衝上40％毛利,26050,https://www.gvm.com.tw/article/94621
2022-08-05,強攻車電，英業達結盟恩智浦的五大盤算,25950,https://www.gvm.com.tw/article/92794
2023-04-13,特斯拉引電動車價格戰，為何鴻海沒在怕？,24800,https://www.gvm.com.tw/article/101667
2022-08-06,物聯網平台年虧1.5億，研華劉克振大嘆：夢很大！,23750,https://www.gvm.com.tw/article/92756
2022-12-02,股價近期回神，佳世達正看準哪些醫療趨勢？,23300,https://www.gvm.com.tw/article/97217
2024-09-30,颱風靠輝達AI協助預報！氣象署打磨三年的新武器是什麼？,23250,https://www.gvm.com.tw/article/115810
2023-01-16,和碩雙執行長亮相，他們如何實現業績跳得比兔高？,22950,https://www.gvm.com.tw/article/98807
