text_segment,n
AI,1340
鴻海,715
台灣,711
發展,542
產品,532
市場,487
產業,469
機器人,467
領域,436
客戶,435
技術,420
今年,417
公司,417
我們,415
伺服器,405
科技,396
未來,366
如今,364
應用,358
全球,355
他們,325
合作,324
宏碁,322
過去,321
電動車,313
推出,312
智慧,312
董事長,311
美國,309
營收,306
集團,287
系統,282
持續,281
華碩,281
企業,279
強調,267
指出,264
成為,263
第一,255
成長,248
輝達,243
去年,239
事業,234
需求,234
目前,233
進行,232
電腦,232
包括,231
服務,224
使用,216
關鍵,215
中心,210
甚至,208
太空,206
執行長,204
日本,204
衛星,203
重要,203
如何,199
機會,199
AI PC,196
供應鏈,196
團隊,196
黃仁勳,196
劉揚偉,194
手機,193
醫療,193
生產,192
軟體,192
開發,192
可以,191
帶來,189
開始,187
打造,183
設計,183
沒有,182
投資,181
模型,181
晶片,176
問題,175
解決,175
成本,174
挑戰,174
總經理,174
成立,173
平台,172
商機,171
提供,171
人形機器人,169
積極,169
整合,168
表示,167
製造,166
提升,164
業務,164
許多,163
資料,162
國際,160
雲端,160
美元,159
