item1,item2,correlation,n
今年,公司,0.8047920786336445,417
智慧,推出,0.79402480782607,312
需求,事業,0.6949622895929518,234
醫療,手機,0.6626950953680999,193
趨勢,布局,0.6371912802853738,125
高階,訂單,0.6254734596697892,86
持續,華碩,0.6240879017398604,281
緯創,代工,0.618554661411982,77
生產,開發,0.6161888569685168,192
場域,預估,0.6107021482523497,58
生產,軟體,0.6080631066495783,192
軟體,開發,0.595703379262012,192
代工,英業達,0.5810960307775481,77
設備,進入,0.580456860246811,129
緯創,英業達,0.5770428691559678,77
不過,表示,0.5667302100630892,167
電腦,進行,0.5638856278021313,232
社會,迎來,0.5603353953084113,76
投入,時間,0.5506689172070245,156
其他,更加,0.5484389210772143,83
設計,打造,0.5440973451891867,183
傳統,此外,0.541937703294419,87
此外,傳統,0.541937703294419,87
直接,和碩,0.5377519968705852,96
商機,提供,0.5377449082323603,171
遊戲,iPhone,0.5375856521433062,104
全新,電競,0.5367378224641831,100
中國,方案,0.5358483872914978,145
目前,因此,0.5311959084876182,233
設備,目標,0.5311697003428407,129
面對,完成,0.5174351821621407,78
運算,隨著,0.5134529671544896,102
參與,緯穎,0.5129414959451329,69
ChatGPT,為何,0.5086077624391085,54
大量,能夠,0.5046062288529677,59
順利,擔任,0.5040426827220148,60
策略,共同,0.5035978761394851,144
國際,雲端,0.5022907531608121,160
