item1,item2,correlation,n
今年,公司,0.8079395860762939,417
既有,發現,0.7085483582778874,65
裝置,城市,0.6922274811292154,89
供應鏈,黃仁勳,0.6766649524509586,196
設備,目標,0.6698104252076588,129
運算,台達,0.6681952848325393,102
預計,加上,0.6546536707079771,123
團隊,供應鏈,0.6512993312814476,196
團隊,黃仁勳,0.6488856845230501,196
問題,解決,0.6482291486269347,175
工業,世界,0.6454056529388179,120
目前,因此,0.6261023989462811,233
裝置,採用,0.6133823614784879,89
預計,半導體,0.6130060338328882,123
智慧,推出,0.6088288373555989,312
採用,城市,0.6078660845917543,89
進一步,電競,0.6038828544997971,100
NVIDIA,結合,0.6037434243525801,72
投入,相當,0.6000991981489789,156
不只,廣達,0.5925630052199559,87
真的,緯穎,0.5883973492046537,69
車廠,文化,0.5715620824726689,81
開發,生產,0.5563569468887536,192
生產,開發,0.5563569468887536,192
高達,汽車,0.5542869676919993,97
時間,相當,0.5537264937018235,156
整體,大廠,0.5537264937018235,153
生產,軟體,0.5515634436501474,192
明年,這些,0.5501019425653721,70
終於,景氣,0.5441186592555386,51
GPU,Intel,0.5427092530382482,58
共同,策略,0.5408580890838857,144
工程,聯盟,0.5326935634201295,53
部分,看好,0.5225616437455319,94
展望,佳世達,0.5220386614834677,75
相較,MIH,0.5202089135345164,65
其實,不同,0.5189476706851297,150
創下,為何,0.5187435684271613,54
此外,廣達,0.518073456990036,87
同樣,液冷,0.5178906171239881,54
關注,攜手,0.5152443938722823,99
資訊,預期,0.5137564096289335,104
矚目,Intel,0.5123558085708321,58
雲端,國際,0.5122673152298133,160
速度,發布,0.5108989936449639,77
不過,表示,0.5059805456545942,167
原因,主管,0.5059184916209789,62
規格,分析師,0.5010028997973653,56
